PropertyStateProvinceID,PropertyStateProvinceName,id
98,IA,9a0199b5-fcc0-4bac-b641-97a9b6e9f1e6
99,WI,09ff951a-d8ef-43e3-bb8a-c1dda4f81b43
100,SD,cd41ac8a-a3bb-4035-a5b4-e234046a5710
101,ND,fc53c76a-b087-4ea5-966a-3722ca4aaffb
102,HI,7e896405-c2ba-4b14-a370-7fd7df3aa0b6
103,IN,1a5a8961-1c72-489e-8ee1-a56df425429b
104,FL,6192b38d-4e9f-4e9a-8dee-e6cb2d80001d
105,CA,2e287435-58ef-4253-8d82-8906169da48d
106,NE,f2f8ad20-a2dc-4957-befc-f6e80ca98a48
107,WY,3aed3a54-e997-45ad-b041-42b32cab9851
108,OH,466463b5-c1d0-4aaf-8ca8-1e828bf8d756
109,MO,0b0c0626-43b0-420c-8307-4a1c4e0de804
110,NV,88635f10-f2e9-49a5-9c3c-f56138372099
111,CO,fe855733-3aca-464b-826e-084624d2fa90
112,MD,cb486348-8ff1-44f1-82cf-091bf286f480
113,DC,09caa659-910e-43a5-a738-41e5284eafa5
114,KS,09b1177e-3aea-4ed1-ae4e-8ca60442fefb
115,VT,d5bab0a8-b80b-4e55-94f2-fbaf46813a81
116,UT,dda2753e-47a3-4de3-bae6-429dd0fea922
117,NY,a8c2f183-7f90-42bb-9526-a6b935a1b5c0
118,OK,d2fec78c-7b68-418d-8162-a88176b3cd30
119,NC,b32778f9-7928-4242-b7e0-ccccb962633c
120,NJ,e14b169f-19dd-4c60-9e15-7539a1d33967
121,VA,8be06786-365b-481e-8e94-b34f32cfe7a0
122,KY,1fd3a620-606c-47c8-87d6-34f392b41a60
123,NM,41b05afd-8566-4d4f-819c-ff1891777937
124,LA,42470ae9-10d5-44e3-813a-03464ddb5e21
125,AR,a747e5e9-769e-438b-bf90-e1b84e958a33
126,ID,d64c833e-c6a7-4145-9876-07c6f97d0972
127,AZ,d6fa9bf7-9d1e-4291-a39b-aecc33883de7
128,AK,9e207eee-00fe-4fe5-b202-e9fd00c37bc5
129,DE,845cb628-25a9-4f3a-84e3-65c819375a06
130,RI,409f6e13-6e3c-4477-935b-92426c155dda
131,ME,7def2325-ba85-4228-91fe-d2f88258630e
132,NH,ba4cf2aa-6b60-45ed-9893-24925b45ac80
133,WV,dc691347-70ba-4258-995e-7e198d1d47e4
